,genres,title,release_date,price,item_id,developer
68,Strategy,"Warhammer® 40,000: Dawn of War® - Dark Crusade",2006-10-09,12.99,4580,Relic Entertainment
69,Strategy,Rome: Total War™ - Collection,2004-09-22,9.99,4760,The Creative Assembly
70,Strategy,Rome: Total War™ - Alexander,2006-06-26,4.99,4770,The Creative Assembly
71,Casual,Mystery Case Files: Madame Fate®,2007-12-14,6.99,50970,Big Fish Games
72,Action,Manhunt,2004-04-20,9.99,12130,Rockstar North
73,Racing,Midnight Club 2,2003-07-01,9.99,12160,Rockstar San Diego
74,Action,Max Payne 2: The Fall of Max Payne,2003-10-14,9.99,12150,Remedy Entertainment
75,Action,Tomb Raider: Legend,2006-04-07,6.99,7000,Crystal Dynamics
76,Action,Max Payne,2001-07-25,9.99,12140,Remedy Entertainment
77,Strategy,Command &amp; Conquer: Red Alert 3,2008-10-28,19.99,17480,EA Los Angeles
78,Casual,PuzzleQuest: Challenge of the Warlords,2007-10-10,9.99,12500,Infinite Interactive
79,RPG,Culpa Innata,2007-10-23,9.99,12310,Momentum Digital Media Technologies
80,Strategy,Prison Tycoon 3™: Lockdown,2007-08-01,9.99,12510,"Gamebryo,Virtual Playground"
81,Action,Hunting Unlimited™ 2008,2007-09-01,9.99,12530,SCS Software
82,Racing,18 Wheels of Steel: American Long Haul,2007-12-03,9.99,12520,SCS Software
83,Action,Conflict: Denied Ops,2008-02-08,5.99,8100,Pivotal Games
84,Action,ARMA: Combat Operations,2007-05-08,7.99,2780,Bohemia Interactive
85,Action,Desperados 2: Cooper's Revenge,2006-05-02,9.99,9710,Spellbound
86,Action,Death to Spies,2007-10-16,4.99,9800,Haggard Games
87,Action,Act of War: High Treason,2006-05-30,2.99,9760,Eugen Systems
88,Simulation,RollerCoaster Tycoon® 3: Platinum,2006-10-26,19.99,2700,"Frontier,Aspyr (Mac)"
89,Action,Act of War: Direct Action,2005-03-14,2.99,2710,Eugen Systems
90,Action,Unreal 2: The Awakening,2003-02-03,14.99,13200,"Epic Games, Inc."
91,Action,Unreal Gold,1998-04-30,9.99,13250,"Epic Games, Inc."
92,Casual,Ninja Reflex: Steamworks Edition,2008-03-21,4.99,13000,Sanzaru Games
93,Action,Tom Clancy's Splinter Cell®,2003-02-18,9.99,13560,Ubisoft
94,Action,Far Cry®,2004-03-23,9.99,13520,Crytek Studios
95,Action,Unreal Tournament: Game of the Year Edition,2000-10-25,9.99,13240,"Epic Games, Inc."
96,Action,Tom Clancy's Rainbow Six® Vegas,2006-12-12,9.99,13540,Ubisoft Montreal
97,Simulation,Silent Hunter® III,2005-03-15,9.99,15210,Ubisoft
98,Casual,Virtual Villagers - The Secret City,2008-05-28,9.99,16180,Last Day of Work
99,Casual,Mystery P.I.™ - The Vegas Heist,2008-06-04,4.99,3520,SpinTop Games
100,Casual,Luxor,2008-06-10,9.99,15970,MumboJumbo
101,Casual,Reaxxion,2008-06-10,9.99,15950,MumboJumbo
102,Casual,Little Farm,2008-06-10,9.99,15960,MumboJumbo
103,Casual,7 Wonders II,2008-06-10,9.99,15900,MumboJumbo
104,Casual,Luxor Amun Rising,2005-12-08,9.99,15910,MumboJumbo
105,Casual,Luxor 3,2007-11-13,9.99,15930,MumboJumbo
106,Simulation,Petz® Horsez® 2,2007-11-13,9.99,15160,Ubisoft
107,Casual,Luxor 2,2005-12-08,9.99,15920,MumboJumbo
108,Action,Rayman Raving Rabbids™,2007-03-27,9.99,15080,"Ubisoft Bulgaria,Ubisoft Montpellier"
109,Simulation,Silent Hunter®: Wolves of the Pacific,2007-03-20,9.99,15200,Ubisoft Romania
110,Simulation,IL-2 Sturmovik: 1946,2006-12-15,9.99,15320,1C: Maddox Games
111,Simulation,Silent Hunter®: Wolves of the Pacific U-Boat Missions,2008-03-24,9.99,15240,Ubisoft Romania
112,Adventure,Bone: Out From Boneville,2005-09-15,9.99,8310,Telltale Games
113,Racing,Midnight Outlaw: 6 Hours to SunUp,2005-07-02,9.99,12600,"Merscom,Babylon"
114,Adventure,Bone: The Great Cow Race,2006-04-12,9.99,8320,Telltale Games
115,Racing,Sprint Cars Road to Knoxville,2008-07-29,9.99,12590,BigAnt Studios
116,Simulation,Ride! Carnival Tycoon,2007-07-02,9.99,12560,Gabriel Entertainment
117,Casual,Mahjongg Investigations: Under Suspicion,2007-08-08,9.99,12540,Zemnott
118,Adventure,Dracula Origin,2008-05-20,9.99,11050,Frogwares
119,Adventure,Sherlock Holmes - Nemesis,2008-04-14,9.99,11040,Frogwares
120,Adventure,Eternity's Child,2008-07-31,4.99,19500,"Luc Bernard,SilverSphereStudios"
121,Simulation,Pacific Storm Allies,2007-05-25,7.99,11260,Lesta Studio
122,Action,Tank Universal,2008-08-21,4.99,19200,Dialogue Design
123,Racing,FlatOut: Ultimate Carnage,2008-08-19,19.99,12360,Bugbear Entertainment
124,Adventure,Oddworld: Abe's Exoddus®,1998-11-17,2.99,15710,Oddworld Inhabitants
125,Adventure,Oddworld: Abe's Oddysee®,1997-12-12,2.99,15700,Oddworld Inhabitants
126,Racing,GTR Evolution Expansion Pack for RACE 07,2008-09-01,7.99,8660,SimBin
127,Strategy,X-COM: Enforcer,2001-04-19,4.99,7770,"MicroProse Software, Inc"
128,Strategy,X-COM: Apocalypse,1997-07-15,4.99,7660,"MicroProse Software, Inc"
129,Strategy,X-COM: UFO Defense,1993-12-31,4.99,7760,"MicroProse Software, Inc"
130,Action,S.T.A.L.K.E.R.: Clear Sky,2008-09-15,9.99,20510,GSC Game World
131,Action,Crysis Warhead®,2008-09-17,19.99,17330,Crytek
132,Action,Crysis,2007-11-13,19.99,17300,Crytek
133,Strategy,X-COM: Interceptor,1998-06-15,4.99,7730,"MicroProse Software, Inc"
134,Action,The Witcher: Enhanced Edition Director's Cut,2008-09-16,9.99,20900,CD PROJEKT RED
135,Indie,Multiwinia,2008-09-19,9.99,1530,Introversion Software
136,Racing,STCC - The Game 1 - Expansion Pack for RACE 07,2008-10-22,2.99,8690,SimBin
137,Strategy,Children of the Nile: Alexandria,2008-08-28,2.49,17120,"Tilted Mill Entertainment, Inc."
138,Strategy,Sid Meier's Civilization IV: Colonization,2008-09-23,19.99,16810,Firaxis Games
139,Action,Tom Clancy's Rainbow Six® 3 Gold,2003-03-18,9.99,19830,"Red Storm Entertainment,Ubisoft Montreal"
140,Action,LEGO Batman,2008-09-29,19.99,21000,Traveller's Tales
141,Simulation,City Life 2008,2008-07-18,9.99,4460,Monte Cristo
142,RPG,Hinterland,2008-09-30,9.99,17140,"Tilted Mill Entertainment, Inc."
143,Action,Brothers in Arms: Hell's Highway™,2008-10-08,9.99,15390,Gearbox Software
144,Indie,Gravitron 2,2008-08-31,4.99,21300,Dark Castle Software
145,Racing,Xpand Rally Xtreme,2006-12-01,4.99,3050,Techland
146,Strategy,Heroes of Might &amp; Magic V: Hammers of Fate,2006-11-14,9.99,15380,Nival
147,Action,Brothers in Arms: Earned in Blood™,2005-10-04,9.99,19800,Gearbox Software
148,Strategy,Heroes of Might &amp; Magic V: Tribes of the East,2007-10-16,9.99,15370,Nival
149,Strategy,The Settlers®: Rise Of An Empire Gold Edition,2008-04-18,19.99,19930,Blue Byte
150,Casual,Brain Spa,2007-09-25,9.99,15350,Ubisoft
151,Action,The Sum of All Fears,2002-05-31,9.99,19810,Red Storm Entertainment
152,Casual,Peggle™ Nights,2008-10-15,4.99,3540,"PopCap Games, Inc."
153,Indie,World of Goo,2008-10-13,9.99,22000,2D BOY
154,Action,X3: Terran Conflict,2008-10-16,15.99,2820,Egosoft
155,Casual,Spectraball,2008-10-20,4.99,18300,Shorebound Studios
156,Indie,Galactic Bowling,2008-10-21,19.99,20200,Perpetual FX Creative
157,Action,Bully: Scholarship Edition,2008-10-21,14.99,12200,Rockstar New England
158,Action,Far Cry® 2: Fortune's Edition,2008-10-22,9.99,19900,Ubisoft Montreal
159,Action,Space Trader: Merchant Marine,2008-10-23,4.99,11240,Meridian4
160,Simulation,PRR Wagon Pack 01,2009-01-01,4.99,256522,RailSimulator.com
161,Simulation,"Class 421 London South East ""Jaffa Cake""",2009-01-01,4.99,275144,RailSimulator.com
162,Simulation,ATSF Wagon Pack 01,2009-01-01,4.99,256521,RailSimulator.com
163,Simulation,GP20 Union Pacific Add-on Livery,2009-01-01,4.99,222569,Reppo
164,Simulation,UK Van Wagon Pack,2009-01-01,4.99,256535,RailSimulator.com
165,Simulation,CSX SD70MAC Add-on Livery,2009-01-01,4.99,256611,Dovetail Games
166,Simulation,CSX ES44AC Add-on Livery,2009-01-01,4.99,256576,Dovetail Games
167,Action,Saints Row 2,2009-01-28,9.99,9480,Volition
168,Action,Dead Space,2008-10-20,19.99,17470,EA Redwood Shores
169,RPG,Rise of the Argonauts,2008-12-16,9.99,12770,Liquid Entertainment
170,Action,Mirror's Edge™,2009-01-13,19.99,17410,DICE
171,Indie,Defense Grid: The Awakening,2008-12-08,9.99,18500,Hidden Path Entertainment
172,Action,F.E.A.R. 2: Project Origin,2009-02-12,14.99,16450,Monolith
173,Strategy,Harvest: Massive Encounter,2008-03-05,7.99,15400,Oxeye Game Studio
174,Indie,Mayhem Intergalactic,2007-07-04,9.99,18600,Inventive Dingo
175,Action,Larva Mortus,2009-03-19,4.99,11340,Meridian4
176,Strategy,Knights of Honor,2005-05-10,9.99,25830,Black Sea Studios Ltd
177,Action,Ceville,2009-02-27,5.99,23460,Realmforge Studios
178,Strategy,Empire: Total War™ - Special Forces Units &amp; Bonus Content,2009-03-04,2.99,10600,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)"
179,Action,Watchmen: The End is Nigh,2009-03-04,4.99,21010,Deadline Games
180,Action,Penumbra Overture,2007-03-30,9.99,22180,Frictional Games
181,Action,Unreal Tournament 3 Black,2007-11-19,19.99,13210,"Epic Games, Inc."
182,RPG,Drakensang,2009-02-27,9.99,12640,Radon Labs
183,Indie,The Graveyard,2008-03-21,4.99,27020,Tale of Tales
184,Racing,Burnout Paradise: The Ultimate Box,2009-02-03,19.99,24740,Criterion Games
185,Action,The Maw,2009-03-09,9.99,26000,Twisted Pixel Games
186,Action,The Maw: River Redirect,2009-03-16,1.25,26006,Twisted Pixel Games
187,Action,The Maw: Brute Force,2009-03-16,1.25,26005,Twisted Pixel Games
188,Casual,Obulis,2009-03-19,4.99,11330,IonFX
189,Indie,Space Giraffe,2009-03-19,9.99,27800,Llamasoft LTD
190,Simulation,Codename: Panzers - Cold War,2009-03-10,14.99,9850,"InnoGlow,Stormregion,THQ Nordic"
191,Casual,Escape Rosecliff Island,2009-04-15,4.99,3600,SpinTop Games
192,RPG,Guild Wars Nightfall®,2006-10-27,19.99,29580,ArenaNet®
193,RPG,Guild Wars® Game of the Year Edition,2005-04-28,19.99,29540,ArenaNet®
194,RPG,Guild Wars Factions®,2006-04-28,19.99,29560,ArenaNet®
195,Massively Multiplayer,Guild Wars Trilogy,2008-09-25,29.99,29570,ArenaNet®
196,Casual,Puzzle Kingdoms,2009-04-16,14.99,23700,Infinite Interactive
197,Casual,Samantha Swift and the Golden Touch,2009-04-29,9.99,16060,MumboJumbo
198,RPG,Two Worlds Epic Edition,2009-04-30,9.99,1930,Reality Pump Studios
199,Strategy,Helldorado,2009-04-30,9.99,18470,Spellbound
200,Action,X-Blades,2009-02-10,9.99,7510,Gaijin Entertainment
201,Action,Zeno Clash,2009-04-21,9.99,22200,ACE Team
202,Indie,The Maw: Speeder Lane,2009-04-29,1.25,26007,Twisted Pixel Games
203,RPG,King's Bounty: The Legend,2008-09-23,6.99,25900,1C Company
204,Casual,Virtual Families,2009-05-06,9.99,16200,Last Day of Work
205,Racing,Death Track®: Resurrection,2009-05-06,2.99,7840,Sky Fallen
206,RPG,Freedom Force vs. the Third Reich,2005-03-08,4.99,8890,Irrational Games
207,RPG,Freedom Force,2002-03-26,4.99,8880,Irrational Games
208,Indie,Light of Altair,2009-06-04,14.99,34500,SaintXi
209,Action,Prototype™,2009-06-10,19.99,10150,Radical Entertainment
210,Strategy,Port Royale 2,2004-04-30,4.99,12470,Ascaron Entertainment ltd.
211,RPG,The Elder Scrolls IV: Oblivion® Game of the Year Edition,2007-09-11,14.99,22330,Bethesda Game Studios
212,RPG,The Elder Scrolls III: Morrowind® Game of the Year Edition,2002-04-29,14.99,22320,Bethesda Game Studios
213,Adventure,Ankh 2: Heart of Osiris,2007-05-18,4.99,12440,Deck 13
214,Simulation,Armored Fist 3,1999-09-01,9.99,32710,NovaLogic
215,Simulation,MiG-29 Fulcrum,1998-09-07,9.99,32740,NovaLogic
216,Strategy,BC Kings,2008-09-15,4.99,12460,Mascot Entertainment
217,Action,Call of Juarez®: Bound in Blood,2009-06-30,9.99,21980,Techland
218,Adventure,Nancy Drew®: Legend of the Crystal Skull,2007-10-01,6.99,31860,HeR Interactive
219,Adventure,Nancy Drew®: The Creature of Kapu Cave,2006-10-01,6.99,31900,HeR Interactive
220,Adventure,Nancy Drew®: The Phantom of Venice,2008-07-01,6.99,31920,HeR Interactive
221,Adventure,Nancy Drew®: The White Wolf of Icicle Creek,2007-07-01,6.99,31930,HeR Interactive
222,Adventure,Tales of Monkey Island Complete Pack,2009-07-07,19.99,31170,Telltale Games
223,Action,Street Fighter® IV,2009-07-07,19.99,21660,Capcom
224,Action,Thrillville®: Off the Rails™,2007-10-09,9.99,6080,Frontier
225,Adventure,Indiana Jones® and the Fate of Atlantis™,1992-06-01,5.99,6010,LucasArts
226,Action,Armed and Dangerous®,2003-12-02,5.99,6090,Planet Moon Studios
227,Action,"Star Wars: Battlefront 2 (Classic, 2005)",2005-11-01,9.99,6060,Pandemic Studios
228,Adventure,Indiana Jones® and the Last Crusade™,1989-07-01,5.99,32310,LucasArts
229,Action,LEGO® Indiana Jones™: The Original Adventures,2008-06-03,19.99,32330,Traveller's Tales
230,Adventure,The Secret of Monkey Island: Special Edition,2009-07-15,9.99,32360,LucasArts
231,Strategy,Warfare,2008-11-20,12.99,35300,GFI Russia
232,Action,Clutch,2009-06-02,9.99,35310,Targem Games
233,Adventure,Nancy Drew®: Ransom of the Seven Ships,2009-07-21,6.99,31980,HeR Interactive
234,Sports,3D Ultra™ Minigolf Adventures,2006-12-20,9.99,10140,Wanako Games
235,Adventure,King's Quest™ Collection,2006-09-01,19.99,10100,Sierra
236,Action,TimeShift™,2007-10-30,19.99,10130,Saber Interactive
237,Adventure,Space Quest™ Collection,2006-09-01,19.99,10110,Sierra
238,Action,Killing Floor Outbreak Character Pack,2009-07-24,7.99,1256,Tripwire Interactive
239,Action,Aces of the Galaxy™,2008-06-04,9.99,10120,Artech Studios
240,Simulation,Tropico Reloaded,2009-07-24,6.99,33520,"PopTop Software,BreakAway Games,Frog City Software"
241,Casual,Mystery P.I. - Lost in Los Angeles,2009-07-27,4.99,3610,SpinTop Games
242,Action,Bionic Commando: Rearmed,2008-08-14,9.99,21680,Capcom
243,Action,Bionic Commando,2009-07-28,9.99,21670,Capcom
244,Action,Watchmen: The End is Nigh Part 2,2009-07-29,4.99,21030,Deadline Games
245,Action,Foreign Legion: Buckets of Blood,2009-08-04,4.99,36000,Sakari Indie
246,Adventure,STAR WARS™ - Knights of the Old Republic™,2003-11-19,9.99,32370,"BioWare,Aspyr (Mac)"
247,Indie,Osmos,2009-08-18,9.99,29180,Hemisphere Games
248,RPG,Fallout 2: A Post Nuclear Role Playing Game,1998-12-01,9.99,38410,Black Isle Studios
249,Strategy,Fallout Tactics: Brotherhood of Steel,2001-03-01,9.99,38420,14° East
250,Action,Kingpin — Life of Crime,1999-06-01,9.99,38430,Xatrix Entertainment
251,Adventure,Tales of Monkey Island Complete Pack: Chapter 2 - The Siege of Spinner Cay,2009-08-20,19.99,31180,Telltale Games
252,Casual,Jewel Quest Pack,2009-08-24,19.99,37960,iWin
253,Casual,Mahjong Quest Collection,2009-08-24,9.99,38000,iWin
254,Adventure,"Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack",2009-06-22,4.99,37400,Size Five Games
255,Action,Tom Clancy's Splinter Cell Chaos Theory®,2005-03-29,9.99,13570,Ubisoft Montreal
256,Strategy,XIII Century – Gold Edition,2009-08-28,4.99,34420,Unicorn Games Studio
257,Simulation,World of Zoo,2009-10-30,14.99,43100,Blue Fang
258,Action,Mini Ninjas,2009-09-08,9.99,35000,IO Interactive
259,Adventure,Windosill,2009-05-26,2.99,37600,"Vectorpark, Inc."
260,Simulation,Train Simulator: Colton &amp; Northern Route Add-On,2009-09-25,24.99,24029,All Aboard
261,Adventure,Midnight Mysteries,2009-09-28,9.99,32140,MumboJumbo
262,Adventure,Tales of Monkey Island Complete Pack: Chapter 3 - Lair of the Leviathan,2009-09-07,19.99,31190,Telltale Games
263,Action,Joint Operations: Combined Arms Gold,2009-08-18,19.99,32770,NovaLogic
264,Simulation,Train Simulator: US Loco &amp; Asset Pack,2009-10-01,17.99,208306,Dovetail Games
265,Simulation,DinerTown Tycoon,2009-09-30,9.99,37300,PlayFirst
266,Simulation,Train Simulator: European Loco &amp; Asset Pack,2009-10-01,19.99,208300,Dovetail Games
267,RPG,Risen,2009-10-30,9.99,40300,Piranha Bytes
268,Casual,Flora's Fruit Farm,2009-10-01,3.99,35070,Honeyslug
269,Strategy,Empire: Total War™ - The Warpath Campaign,2009-10-05,9.99,10606,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)"
270,Adventure,Machinarium,2009-10-16,9.99,40700,Amanita Design
271,Action,Medal of Honor: Airborne,2007-09-04,9.99,24840,EA Los Angeles
272,Racing,Need for Speed: Shift,2009-09-15,19.99,24870,Slightly Mad Studios
273,RPG,Torchlight,2009-10-27,14.99,41500,Runic Games
274,Strategy,Command &amp; Conquer: Red Alert 3 - Uprising,2009-03-12,19.99,24800,EA Los Angeles
275,Strategy,The Stronghold Collection,2009-10-27,19.99,901735,FireFly Studios
276,Strategy,East India Company: Privateer,2009-10-27,4.99,42800,Nitro Games
277,Action,Painkiller: Resurrection,2009-10-27,9.99,39560,Homegrown Games
278,RPG,SpellForce 2 - Anniversary Edition,2009-10-29,14.99,39550,"Phenomic,THQ Nordic"
279,Adventure,Secret Files: Tunguska,2009-10-29,9.99,40330,Animation Arts
280,Strategy,Rush for Berlin Gold,2009-10-29,4.99,40320,Stormregion
281,Adventure,Tales of Monkey Island Complete Pack: Chapter 4 - The Trial and Execution of Guybrush Threepwood,2009-10-07,19.99,31200,Telltale Games
282,Strategy,Men of War: Red Tide,2009-11-01,4.99,3130,1C Company
283,Action,Hammerfight,2009-09-19,4.99,41100,Konstantin Koshutin
284,Action,SpellForce - Platinum Edition,2009-11-03,9.99,39540,Phenomic
285,Strategy,Massive Assault: Phantom Renaissance,2005-03-03,9.99,34640,Wargaming.net
286,Strategy,Massive Assault,2003-10-28,9.99,34630,Wargaming.net
287,Action,Serious Sam HD: The First Encounter,2009-11-24,14.99,41000,Croteam
288,Adventure,Secret Files 2: Puritas Cordis,2009-10-29,9.99,40340,Animation Arts
289,RPG,Dragon Age: Origins,2009-11-06,19.99,17450,BioWare
290,Action,Aztaka,2009-05-07,4.99,37100,Citeremis Inc.
291,Indie,Magnetis,2009-11-05,1.99,37500,Yullaby
292,Strategy,For The Glory: A Europa Universalis Game,2009-11-11,9.99,42810,Crystal Empire Games
293,Action,Call of Duty®: Modern Warfare® 2,2009-11-12,19.99,10180,"Infinity Ward,Aspyr (Mac)"
294,Adventure,LEGO® Star Wars™ - The Complete Saga,2009-11-12,19.99,32440,"Traveller's Tales,Feral Interactive (Mac)"
295,RPG,Overlord™,2007-06-26,4.99,11450,"Triumph Studios,Virtual Programming"
296,RPG,Overlord™: Raising Hell,2008-02-15,9.99,12710,"Triumph Studios,Virtual Programming"
297,Strategy,Command &amp; Conquer 3: Tiberium Wars,2007-03-28,14.99,24790,EA Los Angeles
298,Indie,Yumsters 2: Around the World,2008-07-23,4.99,29120,KranX Productions
299,Strategy,Command &amp; Conquer 3: Kane's Wrath,2009-11-13,19.99,24810,EA Los Angeles
300,Indie,Gratuitous Space Battles,2009-11-16,14.99,41800,Positech Games
301,Simulation,Wings of Prey,2009-12-25,9.99,45300,Gaijin Entertainment
302,Action,The Bard's Tale,2005-06-17,9.99,41900,inXile Entertainment
303,Action,STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,2009-11-03,19.99,32430,"LucasArts,Aspyr Studios"
304,RPG,Fallout 3: Game of the Year Edition,2009-10-13,19.99,22370,Bethesda Game Studios
305,Strategy,Gratuitous Space Battles: The Tribe,2009-12-16,5.99,41802,Positech Games
306,Simulation,Build-A-Lot,2007-10-02,9.99,38080,Hip Soft
307,Simulation,Build-A-Lot 2: Town of the Year,2008-04-29,9.99,38090,Hip Soft
308,Simulation,Build-A-Lot 3: Passport to Europe,2009-01-24,9.99,38100,Hip Soft
309,Casual,Coconut Queen,2009-12-17,9.99,38070,iWin
310,Casual,Roogoo,2009-12-17,1.99,38210,Spidermonk Entertainment
311,Action,Devil May Cry 4,2008-07-08,19.99,45700,Capcom
312,Action,Avencast: Rise of the Mage,2010-03-17,9.99,46410,ClockStone Studios
313,Simulation,Build-A-Lot 4: Power Source,2009-08-12,9.99,38110,Hip Soft
314,Casual,Farm Frenzy 2,2008-08-27,4.99,38130,Alawar
315,Casual,Farm Frenzy 3: American Pie,2010-01-06,9.99,38160,Alawar
316,Casual,Farm Frenzy 3,2009-09-11,9.99,38150,Alawar
317,Casual,Farm Frenzy,2007-12-07,4.99,38120,Alawar
318,Casual,Farm Frenzy: Pizza Party,2009-02-18,4.99,38140,Alawar
319,Casual,Cake Mania Main Street™,2010-02-16,6.99,36300,Sandlot Games
320,Strategy,Westward® IV: All Aboard,2010-02-16,6.99,36310,Sandlot Games
321,Adventure,Iron Roses,2010-02-16,6.99,36320,Cateia Games
322,Strategy,UFO: Extraterrestrials Gold,2010-02-17,9.99,37030,Chaos Concept
323,Adventure,LEGO® Indiana Jones™ 2: The Adventure Continues,2010-02-18,19.99,32450,Traveller's Tales
324,Action,Super Laser  Racer,2010-02-18,4.99,44100,New Star Games Ltd
325,Strategy,Hearts of Iron III: Soviet Infantry Pack DLC,2010-02-18,0.99,25960,Paradox Interactive
